input->1111000000000000: district: 0, candidate: 0, tally: 0, tag: 1111
input->1110000000010000: district: 0, candidate: 0, tally: 1, tag: 1110
input->1101000000100000: district: 0, candidate: 0, tally: 2, tag: 1101
input->1100000000110000: district: 0, candidate: 0, tally: 3, tag: 1100
input->1011000001000000: district: 0, candidate: 0, tally: 4, tag: 1011
input->1010000001010000: district: 0, candidate: 0, tally: 5, tag: 1010
input->1001000001100000: district: 0, candidate: 0, tally: 6, tag: 1001
input->1000000001110000: district: 0, candidate: 0, tally: 7, tag: 1000
input->0111000010000000: district: 0, candidate: 0, tally: 8, tag: 0111
input->0110000010010000: district: 0, candidate: 0, tally: 9, tag: 0110
input->0101000010100000: district: 0, candidate: 0, tally: 10, tag: 0101
input->0100000010110000: district: 0, candidate: 0, tally: 11, tag: 0100
input->0011000011000000: district: 0, candidate: 0, tally: 12, tag: 0011
input->0010000011010000: district: 0, candidate: 0, tally: 13, tag: 0010
input->0001000011100000: district: 0, candidate: 0, tally: 14, tag: 0001
input->0000000011110000: district: 0, candidate: 0, tally: 15, tag: 0000
input->1110000100000000: district: 0, candidate: 0, tally: 16, tag: 1110
input->1111000100010000: district: 0, candidate: 0, tally: 17, tag: 1111
input->1100000100100000: district: 0, candidate: 0, tally: 18, tag: 1100
input->1101000100110000: district: 0, candidate: 0, tally: 19, tag: 1101
input->1010000101000000: district: 0, candidate: 0, tally: 20, tag: 1010
input->1011000101010000: district: 0, candidate: 0, tally: 21, tag: 1011
input->1000000101100000: district: 0, candidate: 0, tally: 22, tag: 1000
input->1001000101110000: district: 0, candidate: 0, tally: 23, tag: 1001
input->0110000110000000: district: 0, candidate: 0, tally: 24, tag: 0110
input->0111000110010000: district: 0, candidate: 0, tally: 25, tag: 0111
input->0100000110100000: district: 0, candidate: 0, tally: 26, tag: 0100
input->0101000110110000: district: 0, candidate: 0, tally: 27, tag: 0101
input->0010000111000000: district: 0, candidate: 0, tally: 28, tag: 0010
input->0011000111010000: district: 0, candidate: 0, tally: 29, tag: 0011
input->0000000111100000: district: 0, candidate: 0, tally: 30, tag: 0000
input->0001000111110000: district: 0, candidate: 0, tally: 31, tag: 0001
input->1101001000000000: district: 0, candidate: 0, tally: 32, tag: 1101
input->1100001000010000: district: 0, candidate: 0, tally: 33, tag: 1100
input->1111001000100000: district: 0, candidate: 0, tally: 34, tag: 1111
